Category,Value,Clue,Answer
ZOOLOGY,100,"These cheetah features are not retractile, unlike those of other big cats",Claws
ZOOLOGY,200,"Of the ant bear, the sloth bear or the koala bear, the only one that really belongs to the bear family",Sloth bear
ZOOLOGY,300,This term for the hair below a Clydesdale's knees is the same as the word for a bird's plumage,Feathers
ZOOLOGY,400,Some of these two-humped camels still roam the Gobi Desert,Bactrian camels
ZOOLOGY,500,The long flap of skin that hangs beneath the throat of this largest deer is called a bell,Moose
ZOOLOGY,100,"A turtle's can be elongated or spherical, & turtles usually bury them in sand, mud or rotting plants",Eggs
ZOOLOGY,200,This Antarctic bird's name was 1st applied to the now extinct flightless great auk of the Arctic,Penguin
ZOOLOGY,300,Both male & female hartebeests have lyre-shaped ones,Horns
ZOOLOGY,400,"Chinchillas, which are known for their fur, belong to this order of mammals",Rodents
ZOOLOGY,500,1 of the raccoon's most distinctive features; most raccoons have 5 to 7 of them,Tail rings
ZOOLOGY,400,Giraffes are divided by sex into cows & these,bulls
ZOOLOGY,800,"While swimming, the anaconda can close off a valve inside these to keep water out",its nostrils
ZOOLOGY,1200,"It's the common litter size of llamas, hippos & kangaroos",one
ZOOLOGY,500,"North American porcupines who gnaw the bark off trees are part of this ""gnawing"" order",rodents
ZOOLOGY,100,This animal used in bathtubs doesn't have a nervous system,a sponge
ZOOLOGY,200,"The affenpinscher is grouped as one of these small ""plaything"" dogs",a toy
ZOOLOGY,300,"Also called puffers, these fish are known for their ability to inflate themselves",blowfish
ZOOLOGY,400,It's the second-largest wildcat in the Americas,puma or mountain lion
ZOOLOGY,500,"These apes who live on the Rock of Gibraltar are tailless monkeys, not true apes",the Barbary apes
ZOOLOGY,200,"The cape buffalo uses its horns to defend itself, & a warthog uses these",Tusks
ZOOLOGY,400,World Book calls this common tree dweller the smartest rodent,Squirrel
ZOOLOGY,600,The highly vascular fine-haired skin on a deer's antlers is called this,Velvet
ZOOLOGY,800,The opposite of hibernate; lungfish & some snails do it,Estivate (sleep during the summer)
ZOOLOGY,1000,Either of the smallest or largest types of monkey whose names both begin with the letter M,Marmosets or mandrills
ZOOLOGY,200,"Mama snakes can't remind their kids to do this to their food, since most snakes' teeth aren't made to do it",Chewing
ZOOLOGY,400,"Scientists have announced the discovery of a new species of this primate, the black-faced lion tamarin",monkey
ZOOLOGY,600,This floating sea creature which resembles a jellyfish was probably named for a type of ship,Man-O'-War
ZOOLOGY,1500,"In winter, when its brown coat turns to white, the short-tailed weasel is called this",Ermine
ZOOLOGY,1000,Eskimos of Greenland hunt this whale for its single long ivory tusk,Narwal
ZOOLOGY,200,"Finned on fish, scaly on lizards, nonexistent on humans & manx cats",tails
ZOOLOGY,400,"From Latin ""to gnaw"", there are more of this group than all other mammals combined",rodents
ZOOLOGY,600,"In mammals, trait determined by presence or absence of Y-chromosome",sex
ZOOLOGY,400,Marine biologists call this gelatinous invertebrate of class Scyphozoa & Hydrozoa a medusa,a jellyfish
ZOOLOGY,800,"The African rock species of this is the continent's longest snake, reaching more than 25 feet in length",a python
ZOOLOGY,1200,"3 flightless birds are native to the South Pacific: the kiwi, the cassowary & this one in Ausralia",the emu
