Category,Difficulty,Clue,Answer,Attribution
*,Badges & lanyards,Anything regarding Java conferences,,
Badges & lanyards,100,A style of conference presentation where the like minded flock together,what is BOF (birds of a feather),anon
Badges & lanyards,100,This west coast conference was the place to be until 2017 ,What is JavaOne,anon
Badges & lanyards,200,"A group of ‘technology leaders’ sponsored by Oracle, who recently held their own online conference to an audience of 14 million in January of 2022.",Who are the Java Champions,anon
Badges & lanyards,200,A 3 day conference usually held in May in London,What is Devoxx UK,anon
Badges & lanyards,300,A sucessful community program related to Devoxx,What is Voxxed Days,anon
*,Deprecated,Rarely used features,,
Deprecated,200," This class was deprecated in Java 11, it extends Panel and is designed to make a small program meant to run inside another application. It is designed to be the superclass of any such program embedded in a web page. ",What is java.applet.Applet?,anon
Deprecated,300,It was green in the beginning and now comes back in a different form.,Greenthreads,anon
Deprecated,300,Java original contribution to animate the web,What are Applets,anon
Deprecated,300,Using this class is contentious and often unwise,What is sun.misc.UnSafe,anon
Deprecated,300,"A feature of Java 8 you’ve probably not heard of, this method ensures you get the strongest random number generator available to the JVM.",What is SecureRandom.getinstanceStrong(),anon
Deprecated,400,An exception depecrated as of Java 11 that would be thrown when a requested operation could not be completed because a specified line number was wrong,What is com.sun.jdi.InvalidLineNumberException? ,anon
Deprecated,400,"A feature of Java 8 you’ve probably never heard of, this method converts a Date object from previously used API’s to an Instant. ",What is Date.toInstant()? ,anon
Deprecated,400,The Part of the JavaFX Graphics system used to render jobs. It is responsible for rasterization and rendering of JavaFX scenes,What is Prism?,anon
*,Devil is in the details,"low level features like native methods, compiler stuff etc.",,
Devil is in the details,100,A technique for calling at a distance,What is RMI,anon
Devil is in the details,100,This tool observes and presents the actions of the Hotspot compiler,What is JitWatch,anon
Devil is in the details,200,A java method whose implementation is also written in another programming language such as C/C++,What is a Java Native Method? ,anon
Devil is in the details,300,"+/- 9,223,372,036,854,775,808 ",What is 64 bit,anon
Devil is in the details,300,This feature has been known to resurrect dead java objects,What is Finalisation,anon
Devil is in the details,300,"This capricious, elusive and erratic modifier offers a lite form of synchronization",What is volatile,anon
Devil is in the details,300,This cheeky hex value adorns all class files,What is CAFEBABE,anon
Devil is in the details,300,The only official subinterface of Serializable,What is Externalizable ,anon
Devil is in the details,300,A generic complaint or an English pop band from 1985,What is Erasure,anon
Devil is in the details,300,Did James Stewart's classic civil war film of 1965 inspire this garbage collector,What is Shenandoah,anon
Devil is in the details,300,This compiler which comes as a component of the Java Runtime environment helps improve the performance of Java applications at run time , What is Just in Time?,anon
Devil is in the details,400,Any character whose codepoint is less than or equal to ‘U+0020’ ,What is space,anon
Devil is in the details,400,This standard Javac option generated all debugging information ,What is -g?,anon
Devil is in the details,400,The interface that allows java code running in the JVM to be called and called by Native applications ,What is JNI? ,anon
*,Java through the ages,"History of Java, people, places and techologies",,
Java through the ages,100,"Released on January 23, 1996, this technology has changed the world",what is Java,anon
Java through the ages,100,Superceeded by Adoptium this project gained much support from the community,What is AdoptOpenJDK,anon
Java through the ages,100,Canadian computing scientist best known as the lead designer behind Java ?,Who is James Gosling ?,anon
Java through the ages,200,"A discontinued language that would later evolve into Java, named for a tree which stood outside the lead developers office? ",What is Oak?,anon
Java through the ages,300,This name was considered for the language before Sun ultimately settled on 'Java'. ,What is 'Oak'? (or What is 'Green'?),anon
Java through the ages,300,The code name for Java 5,What is Tiger,anon
Java through the ages,300,This historic project was designed to allow building of OpenJDK without proprietary software,What is IcedTea,anon
Java through the ages,300,"In a world without StackOverflow, this was ""a friendly place for Java greenhorns"" and THE place to get your Java questions answered. ",What is Java Ranch? / What is javaranch.com?,anon
Java through the ages,300,An ancronim for the original promise of Java,"What is WORA (Write once, run anywhere)",anon
Java through the ages,300,The most common static final field name,What is serialVersionUID.  ,anon
Java through the ages,400,The precursor to JNI,What is NMI,anon
Java through the ages,400,the name for the Java codebase prior to Hotspot,What is classic,anon
Name that Release,400,Java Naming and Directory Interface (JNDI) API,What is 1.3.0,anon
Java through the ages,400,Probably the first Java jewellery ,What is Java Ring,anon
Java through the ages,400,The year when JDK 1.0 was released,What is 1996 ,anon
*,JEP'dy!,Java Enhancement Proposals and other future features,,
JEP'dy!,100,A language used to add formatting to plain text and the language whish should be used to submit JEP documents, What is Markdown,anon
JEP'dy!,200,"JEP 409 now a finalized feature of Jdk 17, the feature allows classes to restrict what other classes and interfaces can extend them",What are sealed classes?,anon
JEP'dy!,300,This concurrency innovation may render thread pools obsolete,Virtual threads (Project Loom),anon
JEP'dy!,300,"The index of all JDK Enhancement Proposals,",What is JEP 0,anon
JEP'dy!,300,In Java 15 we said goodbye to this German rhinoceros,What is Nashorn,anon
JEP'dy!,300,This new feature in Java 15 made String expressions just  a little  tidier,What are Text Blocks,anon
JEP'dy!,300,"This project which will introduce lightweight, efficient threads managed by the Java Virtual.",Project Loom,anon
JEP'dy!,300,The openjdk project name for JSR 376 gave everyone a bit of a puzzle,What is Project  Jigsaw,anon
JEP'dy!,400,Expected to be announced in 2063,What is Java 100,anon
JEP'dy!,400,Introduced  by JEP 371 and intended for use by frameworks that generate classes at run time and use them indirectly,What are hidden classes,anon
JEP'dy!,400,A JEP draft which proposes an effert to unify the treatment of reference to primitive types ingeneric code,What is universal Generics? ,anon
